team_name,shooter_bin,rebound_bin,half,scaled_rebound_prob,is_imputed
Anaheim Ducks,48-54 ft,60-66 ft,1st,0.00019665683382497542,0
Anaheim Ducks,48-54 ft,66-72 ft,1st,0.00019665683382497542,0
Anaheim Ducks,48-54 ft,72-99 ft,1st,0.00032776138970829236,0
Anaheim Ducks,48-54 ft,0-6 ft,2nd,0.0010726736390453205,0
Anaheim Ducks,48-54 ft,12-18 ft,2nd,0.0042140750105351885,0
Anaheim Ducks,48-54 ft,18-24 ft,2nd,0.002145347278090641,0
Anaheim Ducks,48-54 ft,24-30 ft,2nd,0.0018388690955062638,0
Anaheim Ducks,48-54 ft,30-36 ft,2nd,0.0009194345477531319,0
Anaheim Ducks,48-54 ft,36-42 ft,2nd,0.0013791518216296978,0
Anaheim Ducks,48-54 ft,42-48 ft,2nd,0.0016090104585679808,0
Anaheim Ducks,48-54 ft,48-54 ft,2nd,0.0011492931846914147,0
Anaheim Ducks,48-54 ft,54-60 ft,2nd,0.0008428150021070375,0
Anaheim Ducks,48-54 ft,6-12 ft,2nd,0.009960540933992262,0
Anaheim Ducks,48-54 ft,60-66 ft,2nd,0.00022985863693828298,0
Anaheim Ducks,48-54 ft,66-72 ft,2nd,0.00022985863693828298,0
Anaheim Ducks,48-54 ft,72-99 ft,2nd,0.00038309772823047163,0
Anaheim Ducks,48-54 ft,0-6 ft,Whole,0.0009891720982813136,0
Anaheim Ducks,48-54 ft,12-18 ft,Whole,0.0038860332432480178,0
Anaheim Ducks,48-54 ft,18-24 ft,Whole,0.0019783441965626272,0
Anaheim Ducks,48-54 ft,24-30 ft,Whole,0.0016957235970536803,0
Anaheim Ducks,48-54 ft,30-36 ft,Whole,0.0008478617985268401,0
Anaheim Ducks,48-54 ft,36-42 ft,Whole,0.0012717926977902601,0
Anaheim Ducks,48-54 ft,42-48 ft,Whole,0.0014837581474219702,0
Anaheim Ducks,48-54 ft,48-54 ft,Whole,0.0010598272481585503,0
Anaheim Ducks,48-54 ft,54-60 ft,Whole,0.0007772066486496034,0
Anaheim Ducks,48-54 ft,6-12 ft,Whole,0.00918516948404077,0
Anaheim Ducks,48-54 ft,60-66 ft,Whole,0.00021196544963171003,0
Anaheim Ducks,48-54 ft,66-72 ft,Whole,0.00021196544963171003,0
Anaheim Ducks,48-54 ft,72-99 ft,Whole,0.0003532757493861834,0
Anaheim Ducks,54-60 ft,0-6 ft,1st,0.0017613842407915867,0
Anaheim Ducks,54-60 ft,12-18 ft,1st,0.007667201989328083,0
Anaheim Ducks,54-60 ft,18-24 ft,1st,0.004558876858519401,0
Anaheim Ducks,54-60 ft,24-30 ft,1st,0.0021758275915660778,0
Anaheim Ducks,54-60 ft,30-36 ft,1st,0.0015541625654043412,0
Anaheim Ducks,54-60 ft,36-42 ft,1st,0.0017613842407915867,0
Anaheim Ducks,54-60 ft,42-48 ft,1st,0.0013469408900170959,0
Anaheim Ducks,54-60 ft,48-54 ft,1st,0.001657773403097964,0
Anaheim Ducks,54-60 ft,54-60 ft,1st,0.0015541625654043412,0
Anaheim Ducks,54-60 ft,6-12 ft,1st,0.01543801481634979,0
Anaheim Ducks,54-60 ft,60-66 ft,1st,0.0010361083769362277,0
Anaheim Ducks,54-60 ft,66-72 ft,1st,0.000414443350774491,0
Anaheim Ducks,54-60 ft,72-99 ft,1st,0.00031083251308086825,0
Anaheim Ducks,54-60 ft,0-6 ft,2nd,0.003050969131371141,0
Anaheim Ducks,54-60 ft,12-18 ft,2nd,0.013280689160086144,0
Anaheim Ducks,54-60 ft,18-24 ft,2nd,0.007896625987078248,0
Anaheim Ducks,54-60 ft,24-30 ft,2nd,0.0037688442211055275,0
Anaheim Ducks,54-60 ft,30-36 ft,2nd,0.002692031586503948,0
Anaheim Ducks,54-60 ft,36-42 ft,2nd,0.003050969131371141,0
Anaheim Ducks,54-60 ft,42-48 ft,2nd,0.002333094041636755,0
Anaheim Ducks,54-60 ft,48-54 ft,2nd,0.0028715003589375445,0
Anaheim Ducks,54-60 ft,54-60 ft,2nd,0.002692031586503948,0
Anaheim Ducks,54-60 ft,6-12 ft,2nd,0.026740847092605886,0
Anaheim Ducks,54-60 ft,60-66 ft,2nd,0.0017946877243359654,0
Anaheim Ducks,54-60 ft,66-72 ft,2nd,0.0007178750897343861,0
Anaheim Ducks,54-60 ft,72-99 ft,2nd,0.0005384063173007897,0
Anaheim Ducks,54-60 ft,0-6 ft,Whole,0.002359865626474916,0
Anaheim Ducks,54-60 ft,12-18 ft,Whole,0.010272356256420222,0
Anaheim Ducks,54-60 ft,18-24 ft,Whole,0.00610788750381743,0
Anaheim Ducks,54-60 ft,24-30 ft,Whole,0.0029151281268219548,0
Anaheim Ducks,54-60 ft,30-36 ft,Whole,0.0020822343763013964,0
Anaheim Ducks,54-60 ft,36-42 ft,Whole,0.002359865626474916,0
Anaheim Ducks,54-60 ft,42-48 ft,Whole,0.0018046031261278771,0
Anaheim Ducks,54-60 ft,48-54 ft,Whole,0.002221050001388156,0
Anaheim Ducks,54-60 ft,54-60 ft,Whole,0.0020822343763013964,0
Anaheim Ducks,54-60 ft,6-12 ft,Whole,0.020683528137927204,0
Anaheim Ducks,54-60 ft,60-66 ft,Whole,0.0013881562508675977,0
Anaheim Ducks,54-60 ft,66-72 ft,Whole,0.000555262500347039,0
Anaheim Ducks,54-60 ft,72-99 ft,Whole,0.00041644687526027924,0
Anaheim Ducks,6-12 ft,0-6 ft,1st,0.016322766570605187,0
Anaheim Ducks,6-12 ft,12-18 ft,1st,0.014386167146974061,0
Anaheim Ducks,6-12 ft,18-24 ft,1st,0.00622478386167147,0
Anaheim Ducks,6-12 ft,24-30 ft,1st,0.00345821325648415,0
Anaheim Ducks,6-12 ft,30-36 ft,1st,0.0035965417867435154,0
Anaheim Ducks,6-12 ft,36-42 ft,1st,0.002628242074927954,0
Anaheim Ducks,6-12 ft,42-48 ft,1st,0.002628242074927954,0
Anaheim Ducks,6-12 ft,48-54 ft,1st,0.0030432276657060514,0
Anaheim Ducks,6-12 ft,54-60 ft,1st,0.002489913544668588,0
