teamCode,dist_bin,primary_goal_prob,rebound_creation_prob,secondary_xg_yield
TBL,21-24 ft,0.0625,0.1171875,0.1959841844069211
TBL,24-27 ft,0.0909090909090909,0.0378787878787878,0.1955305279462044
TBL,27-30 ft,0.0840336134453781,0.0504201680672268,0.1918460044918295
TBL,30-33 ft,0.0405405405405405,0.081081081081081,0.1798510150158017
TBL,33-36 ft,0.0287769784172661,0.1007194244604316,0.1758227303880538
TBL,36-39 ft,0.0521739130434782,0.0521739130434782,0.1892109722076919
TBL,39-42 ft,0.0172413793103448,0.043103448275862,0.1821118261802267
TBL,42-45 ft,0.0104166666666666,0.0729166666666666,0.174613015840555
TBL,45-48 ft,0.017391304347826,0.0695652173913043,0.1631306481548726
TBL,48-51 ft,0.0291970802919708,0.0291970802919708,0.184222685479716
TBL,51-54 ft,0.0082644628099173,0.0909090909090909,0.17079010909642
TBL,54-57 ft,0.0147058823529411,0.0367647058823529,0.1845545286144094
TBL,57-60 ft,0.0155038759689922,0.0542635658914728,0.1765286798608058
TBL,60-63 ft,0.0277777777777777,0.0416666666666666,0.1719082293681414
TBL,63-66 ft,0.0,0.0178571428571428,0.1767669198125004
TBL,66-69 ft,0.0,0.0344827586206896,0.1536475609914699
TOR,0-6 ft,0.1,0.225,0.2442211456007594
TOR,6-9 ft,0.0638297872340425,0.1418439716312056,0.2244653060670102
TOR,9-12 ft,0.1094527363184079,0.1094527363184079,0.2149921337034213
TOR,12-15 ft,0.096551724137931,0.0896551724137931,0.2085985634944435
TOR,15-18 ft,0.0947368421052631,0.0789473684210526,0.1955342241988078
TOR,18-21 ft,0.079646017699115,0.0530973451327433,0.1911699597523295
TOR,21-24 ft,0.1041666666666666,0.0486111111111111,0.1959841844069211
TOR,24-27 ft,0.0691823899371069,0.050314465408805,0.1955305279462044
TOR,27-30 ft,0.1428571428571428,0.0428571428571428,0.1918460044918295
TOR,30-33 ft,0.0308641975308641,0.037037037037037,0.1798510150158017
TOR,33-36 ft,0.0601503759398496,0.0225563909774436,0.1758227303880538
TOR,36-39 ft,0.036036036036036,0.054054054054054,0.1892109722076919
TOR,39-42 ft,0.046875,0.03125,0.1821118261802267
TOR,42-45 ft,0.0404624277456647,0.0173410404624277,0.174613015840555
TOR,45-48 ft,0.0157480314960629,0.0236220472440944,0.1631306481548726
TOR,48-51 ft,0.0353982300884955,0.0884955752212389,0.184222685479716
TOR,51-54 ft,0.043859649122807,0.0614035087719298,0.17079010909642
TOR,54-57 ft,0.0,0.0,0.1845545286144094
TOR,57-60 ft,0.0176991150442477,0.0619469026548672,0.1765286798608058
TOR,60-63 ft,0.0131578947368421,0.0526315789473684,0.1719082293681414
TOR,63-66 ft,0.0,0.0172413793103448,0.1767669198125004
TOR,66-69 ft,0.0068906115417743,0.0482342807924203,0.1536475609914699
VAN,0-6 ft,0.2962962962962963,0.074074074074074,0.2442211456007594
VAN,6-9 ft,0.1129032258064516,0.1451612903225806,0.2244653060670102
VAN,9-12 ft,0.1428571428571428,0.0666666666666666,0.2149921337034213
VAN,12-15 ft,0.1223021582733813,0.0935251798561151,0.2085985634944435
VAN,15-18 ft,0.1056338028169014,0.0633802816901408,0.1955342241988078
VAN,18-21 ft,0.0952380952380952,0.0571428571428571,0.1911699597523295
VAN,21-24 ft,0.0378787878787878,0.0378787878787878,0.1959841844069211
VAN,24-27 ft,0.1111111111111111,0.0854700854700854,0.1955305279462044
